position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
2615	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	l7Hq4BkJGKI	2017-01-06T00:26:55.000Z	2017-01-06 01:26:55	Ben Howard Cloud Nine 1		22	People & Blogs	PT3M24S	204	2d	sd	false	1	0	0	0	0	0
2616	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	2DaRmuMmOek	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	A Moment with Thomas Rhett		22	People & Blogs	PT2M38S	158	2d	sd	false	1	1	0	0	0	0
2617	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	WTcXWjKXNmE	2017-01-06T00:26:50.000Z	2017-01-06 01:26:50	Ben Howard Call me Maybe Lyrics		22	People & Blogs	PT4M24S	264	2d	sd	false	1	1	0	0	0	0
2618	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	BlZ80tXExTE	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	a day on the green Blondie Pretenders Perth 241110 TV Commercial		22	People & Blogs	PT31S	31	2d	sd	false	1	1	0	0	0	0
2619	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	rECAqiz3_v8	2017-01-06T00:26:45.000Z	2017-01-06 01:26:45	Happy Fathers Day		22	People & Blogs	PT2M43S	163	2d	sd	false	1	3	0	0	0	0
2620	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	y0M2rBDB874	2017-01-06T00:26:42.000Z	2017-01-06 01:26:42	Ben Howard Call Me Maybe Cover		22	People & Blogs	PT4M27S	267	2d	sd	false	1	10	0	0	0	0
2621	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	bFNzwufdiTo	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2017 Love Lost J Cole feat Bryson Tiller type beat Prod By BTJMUSIC		22	People & Blogs	PT3M43S	223	2d	sd	false	1	16	1	0	0	0
2622	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	mnTK3cxHYpE	2017-01-06T00:26:37.000Z	2017-01-06 01:26:37	Halo Cover by Elliot Fletcher		22	People & Blogs	PT3M26S	206	2d	sd	false	1	7	0	0	0	0
2623	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	2PYFyfNAwG8	2017-01-06T00:26:20.000Z	2017-01-06 01:26:20	Grammys 15 hozier Annie Lennox		22	People & Blogs	PT28S	28	2d	sd	false	1	3	0	0	0	0
2624	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	5MG21awN5n0	2017-01-06T00:26:20.000Z	2017-01-06 01:26:20	Good Parts by Andy Grammer		22	People & Blogs	PT3M44S	224	2d	sd	false	1	0	0	0	0	0
2625	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	JkK3Xxrl4cI	2017-01-06T00:26:19.000Z	2017-01-06 01:26:19	Good Parts Andy Grammer		22	People & Blogs	PT4M25S	265	2d	sd	false	1	0	0	0	0	0
2626	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	qpfoYzKrgTs	2017-01-06T00:26:19.000Z	2017-01-06 01:26:19	Good Life Jesse McCartney		22	People & Blogs	PT3M28S	208	2d	sd	false	1	1	0	0	0	0
2627	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	nu5zLcSUgy4	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2016 REFLECTION ANDY GRAMMER, HISPANIC HERITAGE MONTH PARADE, AND MORE!		22	People & Blogs	PT11M17S	677	2d	sd	false	1	0	0	0	0	0
2628	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wH8JLqWCrak	2017-01-06T00:26:17.000Z	2017-01-06 01:26:17	Gold Star For Me Feat Carrie Fletcher dodie		22	People & Blogs	PT2M52S	172	2d	sd	false	1	0	0	0	0	0
2629	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	_hMT3O1Ww28	2017-01-06T00:26:16.000Z	2017-01-06 01:26:16	Gold Is For The Golden Team Be Together Tep No Remix		22	People & Blogs	PT3M24S	204	2d	sd	false	1	0	0	0	0	0
2630	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	pC5HE-6yLmo	2017-01-06T00:26:15.000Z	2017-01-06 01:26:15	Geoffrey Fletcher Kalumburu 2012		22	People & Blogs	PT3M17S	197	2d	sd	false	1	0	0	0	0	0
2631	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	Y-QN4wZtVCY	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2016 New Year Singing Special! Me singing “ Fireflies ” By OwlCity		22	People & Blogs	PT3M20S	200	2d	sd	false	1	0	0	0	0	0
2632	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	YGvKU_d3NZg	2017-01-06T00:26:15.000Z	2017-01-06 01:26:15	Gavin Degraw and Andy Grammer Medley SiriusXM Hits 1		22	People & Blogs	PT4M34S	274	2d	sd	false	1	2	0	0	0	0
2633	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	cKB1-oNxEDM	2017-01-06T00:26:14.000Z	2017-01-06 01:26:14	Gavin DeGraw and Andy Grammer Live at Silver Creek Event Center		22	People & Blogs	PT31S	31	2d	sd	false	1	1	0	0	0	0
2634	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	PBnjK_GjMPs	2017-01-06T00:26:12.000Z	2017-01-06 01:26:12	Future Bass Tep No Its Alright ft Lizz Kellermann NGHTMRE Remix		22	People & Blogs	PT3M41S	221	2d	sd	false	1	3	0	0	0	0
2635	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	CxZSNsZSuZo	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2016 Fletcher Band Middle School Night 09 30 16		22	People & Blogs	PT5M59S	359	2d	sd	false	1	0	0	0	0	0
2636	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wpIXopNASGA	2017-01-06T00:27:28.000Z	2017-01-06 01:27:28	Funny Moments Jesse McCartney		22	People & Blogs	PT2M5S	125	2d	sd	false	1	2	0	0	0	0
2637	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	Sld2RhFd8E0	2017-01-06T00:27:25.000Z	2017-01-06 01:27:25	funny moment whit Jesse McCartney		22	People & Blogs	PT24S	24	2d	sd	false	1	2	0	0	0	0
2638	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	tUMXpgQrAvM	2017-01-06T00:27:20.000Z	2017-01-06 01:27:20	Funny Hozier!		22	People & Blogs	PT9M1S	541	2d	sd	false	1	3	0	0	0	0
2639	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	t-kmqsMwjCs	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2016 Fletcher Band Finals @ Echos of Excellence		22	People & Blogs	PT10M42S	642	2d	sd	false	1	0	0	0	0	0
2640	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	_JowgLX917s	2017-01-06T00:27:16.000Z	2017-01-06 01:27:16	Full Frame Opening Night 2012		22	People & Blogs	PT2M5S	125	2d	sd	false	1	0	0	0	0	0
2641	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	UFVxL0iFKXs	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	2015 Fletcher Drumline		22	People & Blogs	PT2M6S	126	2d	sd	false	1	0	0	0	0	0
2642	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	-0tw8So3CaA	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	70s Northern Soul Darrow Fletcher Love Is My Secret Weapon		22	People & Blogs	PT2M55S	175	2d	sd	false	1	98	2	0	0	0
2643	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	-jlnoU0L508	2017-01-06T00:27:03.000Z	2017-01-06 01:27:03	Fresh Eyes Andy Grammer Unplugged Cover		22	People & Blogs	PT3M36S	216	2d	sd	false	1	2	0	0	0	0
2644	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	HmupDaaUMgQ	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	034 intro ItzMaSter Natuki 3D		22	People & Blogs	PT13S	13	2d	sd	false	1	0	0	0	0	0
2645	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	-6fPUEQfTBA	2017-01-06T00:26:46.000Z	2017-01-06 01:26:46	FRESH EYES Andy Grammer Acoustic Cover		22	People & Blogs	PT3M22S	202	2d	sd	false	1	0	0	0	0	0
2646	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	OVcTHwIK194	2017-01-06T00:26:45.000Z	2017-01-06 01:26:45	forever andy grammer tour prank		22	People & Blogs	PT1M36S	96	2d	sd	false	1	1	0	0	0	0
2647	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	eJLBWEAv3Hg	2017-01-06T00:26:45.000Z	2017-01-06 01:26:45	Fletcher’s Drive It Can Wait		22	People & Blogs	PT6M8S	368	2d	sd	false	1	0	0	0	0	0
2648	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	7rwtatF2Tus	2017-01-06T00:26:44.000Z	2017-01-06 01:26:44	Fletcher 2		22	People & Blogs	PT3M34S	214	2d	sd	false	1	5	0	0	0	0
2649	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	nL8TxjJ9ln4	2017-01-06T00:26:43.000Z	2017-01-06 01:26:43	Ben Howard Black Flies HD Live In Paris 2015		22	People & Blogs	PT6M56S	416	2d	sd	false	1	1	0	0	0	0
2650	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	c7vRvtYNPqM	2017-01-06T00:26:43.000Z	2017-01-06 01:26:43	fletcher		22	People & Blogs	PT2M12S	132	2d	sd	false	1	0	0	0	0	0
2651	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	QGzB4ZQRkwU	2017-01-06T00:26:42.000Z	2017-01-06 01:26:42	Fletcher vs Peck		22	People & Blogs	PT6M26S	386	2d	sd	false	1	0	0	0	0	0
2652	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	uMylZdLkN4o	2017-01-06T00:26:42.000Z	2017-01-06 01:26:42	Fletcher Rowley on CNN		22	People & Blogs	PT3M26S	206	2d	sd	false	1	1	0	0	0	0
2653	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wk3shdzNhBA	2017-01-06T00:26:41.000Z	2017-01-06 01:26:41	Fletcher Henderson Orch Charley, My Boy 1924		22	People & Blogs	PT3M8S	188	2d	sd	false	1	1	0	0	0	0
2654	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ouPqBrm0qI8	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	16OrBetter Cypher EP 55 Casket D x GetEm Grimez x Young MA x RBLZ x Chase Baker		22	People & Blogs	PT11M50S	710	2d	hd	false		0	0	0	0	0
2655	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ZpaFuEqVThU	2017-01-06T00:26:40.000Z	2017-01-06 01:26:40	Ben Howard Are You Ready		22	People & Blogs	PT5M38S	338	2d	sd	false	1	2	0	0	0	0
